date,bands,venue,cover
5/15/2021,No Showers,Dartmouth,-
7/3/2021,No Showers,Tub,-
7/10/2021,"All Night Boogie Band, rudolph",hous,-
7/16/2021,No Showers,Tub,-
8/7/2021,No Showers,Tub,-
8/27/2021,No Showers,Tub,-
9/3/2021,No Showers,Redstone Green,-
9/10/2021,Rudolph,Tub,-
9/11/2021,No Showers,Orlandos,-
9/18/2021,No Showers,Middlebury,-
9/24/2021,No Showers,Dartmouth (Bones Gate),-
10/8/2021,No Showers,Swan Dojo,-
10/9/2021,No Showers,Tub,-
10/15/2021,All Night Boogie Band,Zenbarn,-
11/5/2021,Rudolph,Vans,-
11/6/2021,No Showers,Orlandos,-
11/13/2021,Zonkey,AGR,-
11/19/2021,Duo,Swan Dojo,-
12/3/2021,"Bobby Coe, Moondogs",Swan Dojo,-
12/4/2021,"Blackwater, Dick Richard, The Union",Swan Dojo,-
1/21/2022,"Dick Richard, moondogs",35 Isham St,8
1/28/2022,No Showers,Orlandos,-
2/5/2022,No Showers,Tufts,-
2/17/2022,Yarn,Monkey House,-
2/18/2022,No Showers,Swan Dojo,-
2/19/2022,"Dick Richard, lazybird",35 Isham St,7
2/23/2022,Swimmer,Nectars,-
2/25/2022,Dick Richard,Big Bird,5
2/25/2022,No Showers,Davis Center (UVM),-
3/2/2022,No Showers,UVM BOTB,-
3/16/2022,Dick Richard,RJs,0
3/19/2022,No Showers,Higher Ground,-
3/24/2022,"Kyne, brunch, assorted fruit",The Dirty P,5
3/25/2022,"Dick Richard, blackwater",35 Isham St,5
3/26/2022,No Showers,UVM Rallython,-
4/2/2022,No Showers,Big Bird,-
4/14/2022,Most Wanted,Radio Bean,-
4/16/2022,No Showers,Dreamapolooza,-
4/19/2022,Waking windows BOTB,-,-
4/21/2022,pons,Radio Bean,-
4/22/2022,"Dick Richard, brunch",Big Bird,5
4/22/2022,"Brunch, Dick Richard",Big Bird,5
4/29/2022,"Beans, Super Blue",PMD,5
4/30/2022,"Brunch, Blackwater",Big Bird,5
4/30/2022,No Showers,OC fest on Davis Green,-
5/5/2022,Most Wanted,Radio Bean,-
5/6/2022,"Dick Richard, los hangos, reaper, scuzz",Jims Basement,0
5/7/2022,Most Wanted,porchfest UVM,-
5/13/2022,"Beans, Zonkey",100 Buell,5
5/14/2022,No Showers,"Waking Windows, ArtsRiot",-
5/14/2022,Most Wanted,Artsriot,-
5/20/2022,Beans,Isham,0
5/20/2022,"Brunch, All Night All Night Boogie Band Band",The Diner,5
5/28/2022,Dick Richard,35 Isham St,5
5/28/2022,Panarchy,Dartmouth,-
6/4/2022,No Showers,thunderdome Burlington,-
6/5/2022,Most Wanted,Radio Bean,-
6/6/2022,"Most Wanted, All Night Boogie Band Band",Bones Gate Dartmouth,-
6/11/2022,No Showers,Barn Party in Wolcott VT,-
6/12/2022,Most Wanted,-,-
6/17/2022,"Moondogs, No Showers",Radio Bean,-
6/17/2022,Moondogs,Radio Bean,-
6/18/2022,"Dick Richard, mckauley kart, superblue",35 Isham St,5
7/8/2022,"Dick Richard, mckauley kart, superblue",35 Isham St,5
7/15/2022,"Kyne, Dick Richard",-,0
7/16/2022,Kyne,-,0
7/20/2022,"No Showers, Yarn",Radio Bean,-
7/20/2022,Yarn,Radio Bean,-
7/23/2022,"Dick Richard, blackwater, superblue",Big Bird,5
7/28/2022,Beans,PMD,0
8/2/2022,Beans,Radio Bean,0
8/4/2022,No Showers,Orlandos,-
8/11/2022,"Dick Richard, beans",PMD,5
8/12/2022,"Beans, Kyne",PMD,5
8/13/2022,"Kyne, assorted fruit, burly girlies",35 Isham St,5
8/17/2022,No Showers,Bones Gate,-
8/18/2022,Most Wanted,Radio Bean,-
8/19/2022,No Showers,panarchy,-
8/20/2022,No Showers,Radio Bean,-
9/1/2022,No Showers,Champlain Valley Fair,-
9/1/2022,Most Wanted,Radio Bean,-
9/2/2022,"Brunch, Dick Richard",35 Isham St,5
9/2/2022,No Showers,Nectar's,-
9/3/2022,No Showers,Yard party isham,-
9/8/2022,"Kyne, mcauley kart",Slade,5
9/9/2022,"Beans, Armanodillo",PMD,5
9/9/2022,No Showers,Art Hop,-
9/15/2022,Most Wanted,Radio Bean,-
9/16/2022,"Beans, No Lemon, Blackwater",PMD,5
9/16/2022,No Showers,Furnace,-
9/17/2022,Dick Richard,Slade,5
9/17/2022,"Brunch, Public Communications",Dreamscape,5
9/23/2022,"Beans, Scoober Diver",54 Isham,5
9/24/2022,Fresh Pressed Mini-Fest,George Street,15
30-Sep,"Brunch, Blackwater",Publishing House,5
9/30/2022,Zonkey,Yard Show,-
10/1/2022,"Dick Richard, spiders for breakfast",Fresh Pressed,5
10/1/2022,No Showers,EE Magic Mann,-
10/1/2022,"Brunch, Mole",Slade,5
10/6/2022,"Brunch, TVOD, Rockin Worms",Radio Bean,7
10/7/2022,"Beans, Moondogs",23 Isham,5
10/7/2022,No Showers,3D night basement show,-
10/7/2022,"Brunch, No Showers on Vacation",Furnace,5
10/8/2022,"Dick Richard, savage henry",35 Isham St,5
10/8/2022,No Showers,Melon Fest St Lawrence,-
10/13/2022,Most Wanted,Radio Bean,-
10/21/2022,Most Wanted,Orlandos,-
10/22/2022,No Showers,Middlebury,-
10/27/2022,Beans St. Jude's Fundraiser,PMD,5
10/28/2022,Hand in Pants,Trinity (outdoor),0
10/28/2022,"Kyne, no lemon",35 Isham St,5
10/29/2022,"Beans, Zonkey",PMD,5
10/29/2022,"Dick Richard, Brunch, Burly Girlies",35 Isham St,7
10/31/2022,No Showers,Higher Ground,-
11/2/2022,Most Wanted,Radio Bean,-
11/4/2022,"Hand in Pants, Lunch",Trinity (outdoor),0
11/4/2022,"Brunch, Mole",Big Bird,5
11/11/2022,"Hand in Pants, Lunch, Armanodillo",Mcauley Great Room,5
11/11/2022,"Beans, Comatose Kids",Publishing House,5
11/18/2022,"Dick Richard. brunch, magnolia",PMD,5
11/18/2022,"Beans, Dick Richard, Magnolia",PMD,5
11/19/2022,"Dick Richard, CPS, tandem bike riders",the furnace,5
11/22/2022,"Brunch, Pons, Trash Rabbit, Jersey Dave",Furnace,10
12/2/2022,The Daunted Hogs,PMD,0
12/2/2022,"Hand in Pants, Armanodillo",Publishing House,5
12/2/2022,Most Wanted,Radio Bean,-
12/3/2022,"Hand in Pants, Comatose Kids",Slade,5
12/3/2022,"Dick Richard, trophy husband, date nite",Furnace,7
12/7/2022,"Hand in Pants, No Fun Haus, Benway",Radio Bean,5
12/7/2022,No Showers,WRUV exposure,-
12/10/2022,"Kyne, beans",PMD,5
12/10/2022,"Beans, Kyne",PMD,5
12/10/2022,No Showers,NSOV Orlandos,-
12/10/2022,"Brunch, McKauley Kart",jims basement,0
12/15/2022,Most Wanted,Radio Bean,-
12/16/2022,"Beans, Moondogs, Zonkey, Dick Richard",Radio Bean,10
12/21/2022,"Brunch, No Lemon",Radio Bean,10
1/20/2023,Most Wanted,Orlandos,-
1/21/2023,"Beans, The Celestial Company",PMD,5
1/21/2023,No Showers,Nectars,-
1/27/2023,"Dick Richard, Brunch",35 Isham St,5
1/27/2023,"Beans, No Lemon",PMD,5
1/27/2023,No Showers,Radio Bean,-
2/2/2023,Most Wanted,Radio Bean,-
2/10/2023,"Hand in Pants, Benway",Publishing House,5
2/10/2023,No Showers,Nectars,-
2/11/2023,"Beans, Comatose Kids",PMD,5
2/14/2023,"Brunch, Mole",Foundry,5
2/18/2023,"Dick Richard, jerry hat trick",8 haswell,5
2/22/2023,Most Wanted,Nectars,-
2/24/2023,"Brunch, Assorted Fruit, Kyne",The Dirty P,5
2/25/2023,"Hand in Pants, Lunch, Bad Milk",Mcauley Great Room,5
2/25/2023,"Brunch, Date Nite",Foundry,5
2/25/2023,No Showers,Rockwood NYC,-
3/3/2023,"Dick Richard, lunch",Publishing House,5
3/3/2023,"Hand in Pants, Magnolia",PMD,5
3/4/2023,"Beans, Lunch",Foundry,5
3/4/2023,No Showers,Monkey House,-
3/9/2023,"Brunch, Blackwater",Radio Bean,5
3/29/2023,"Brunch, Benway, Quiz Kid",Radio Bean,7
3/31/2023,"The Daunted Hogs, Magnolia",PMD,5
31-Mar,"Brunch, Script Kiddie, Mole",The Palace,0
4/5/2023,Beans,WRUV,0
